,atc_e_external_reservoir_model_1_combined,atc_i_cell2,ssDNA_comp1,enzyme_VioA_biocrnpyler_624668,complex_dna_dna_vioA_protein_RNAP_biocrnpyler_624668,protein_Ribo_biocrnpyler_624668,complex_protein_Ribo_transcript_vioA_biocrnpyler_624668,dna_dna_vioA_biocrnpyler_624668,transcript_vioA_biocrnpyler_624668,protein_RNAase_biocrnpyler_624668,complex_protein_RNAase_transcript_vioA_biocrnpyler_624668,protein_RNAP_biocrnpyler_624668,enzyme_VioB_biocrnpyler_624668,complex_protein_RNAase_transcript_vioB_biocrnpyler_624668,complex_protein_Ribo_transcript_vioB_biocrnpyler_624668,complex_dna_dna_vioB_protein_RNAP_biocrnpyler_624668,transcript_vioB_biocrnpyler_624668,dna_dna_vioB_biocrnpyler_624668,enzyme_VioE_biocrnpyler_624668,complex_protein_Ribo_transcript_vioE_biocrnpyler_624668,complex_protein_RNAase_transcript_vioE_biocrnpyler_624668,dna_dna_vioE_biocrnpyler_624668,transcript_vioE_biocrnpyler_624668,complex_dna_dna_vioE_protein_RNAP_biocrnpyler_624668,transcript_vioD_biocrnpyler_624668,complex_protein_Ribo_transcript_vioD_biocrnpyler_624668,complex_dna_dna_vioD_protein_RNAP_biocrnpyler_624668,enzyme_VioD_biocrnpyler_624668,complex_protein_RNAase_transcript_vioD_biocrnpyler_624668,dna_dna_vioD_biocrnpyler_624668,TRP_biocrnpyler_624668,IPA_imine_biocrnpyler_624668,complex_TRP_enzyme_VioA_biocrnpyler_624668,IPA_imine_dimer_biocrnpyler_624668,complex_2x_IPA_imine_enzyme_VioB_biocrnpyler_624668,PTDVA_biocrnpyler_624668,complex_IPA_imine_dimer_enzyme_VioE_biocrnpyler_624668,PTVA_biocrnpyler_624668,complex_PTDVA_enzyme_VioD_biocrnpyler_624668,time,atc_e_external_reservoir_model_1_combined,atc_i_cell3,ssDNA_comp2,complex_protein_Ribo_transcript_vioC_biocrnpyler_693963,complex_dna_dna_vioC_protein_RNAP_biocrnpyler_693963,transcript_vioC_biocrnpyler_693963,protein_Ribo_biocrnpyler_693963,protein_RNAase_biocrnpyler_693963,enzyme_VioC_biocrnpyler_693963,complex_protein_RNAase_transcript_vioC_biocrnpyler_693963,dna_dna_vioC_biocrnpyler_693963,protein_RNAP_biocrnpyler_693963,PTVA_biocrnpyler_693963,V_biocrnpyler_693963,complex_PTVA_enzyme_VioC_biocrnpyler_693963,PTDVA_biocrnpyler_693963,DV_biocrnpyler_693963,complex_PTDVA_enzyme_VioC_biocrnpyler_693963,time
0,77.3418152315098,9922.65822165783,10.0,845.840318389016,0.74796880104249,0.00616281167913811,5.99845929707987,9.25203119895749,97.81982576516,0.00153319295443002,1.49961670176118,0.00812479583004869,846.557252049094,1.49961670176118,5.99845929707987,0.747968801042491,97.81982576516,9.2520311989575,846.544963984412,5.99845929707987,1.49961670176118,9.25203119895749,97.81982576516,0.74796880104249,97.81982576516,5.99845929707987,0.747968801042492,846.544524621866,1.49961670176118,9.25203119895751,8.4838544040196e-05,0.000143248033273691,0.717203286366984,1.48738637159343e-06,0.000269626287958191,1.53942713990803e-06,0.0125576909686232,4.61545691594394,0.012997053513745,0.0,77.3418152315098,9922.65818476849,10.0,23.9937576801779,2.95778913556459,386.294343623901,0.00624231982213936,0.0015529731271132,3384.7316531689,5.99844702687288,7.04221086443541,0.0422108644354082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,74.69536083849236,9925.304676050857,10.0,860.9196489965548,0.7479688010424845,0.006051430580129078,5.9984871423545645,9.25203119895749,99.62073513290508,0.0015054833739522502,1.4996236291563114,0.008124795830048626,861.6036021740426,1.4996236291563094,5.998487142354565,0.7479688010424865,99.62073513290507,9.252031198957505,861.59187946058,5.9984871423545645,1.4996236291563114,9.25203119895749,99.62073513290508,0.7479688010424845,99.62073513290514,5.998487142354561,0.747968801042486,861.5914603149323,1.4996236291563116,9.252031198957512,7.95171920653709e-05,0.0001342710070327288,0.6842103988209587,1.3941737240599067e-06,0.00025722133246127766,1.4429528084093982e-06,0.011979934793998509,4.633148832796042,0.012399080440864635,50.16722408026756,74.69535964978567,9925.304640350216,10.0,23.99387059603,2.95778913556459,393.4124799888975,0.006129403970039043,0.0015248817272402787,3444.916806551172,5.998475118272748,7.04221086443541,0.04221086443540812,0.0,0.0,0.0,0.0,0.0,0.0,50.16722408026756
2,72.30274966663261,9927.697287222716,10.0,875.9975305665896,0.7479688010424858,0.005944003960649773,5.998513999009401,9.252031198957487,101.42164539391815,0.0014787575968492619,1.4996303106005913,0.008124795830048635,876.6500203230572,1.4996303106005877,5.998513999009402,0.7479688010424884,101.42164539391815,9.252031198957505,876.6388369489815,5.998513999009401,1.4996303106005913,9.252031198957487,101.42164539391815,0.7479688010424858,101.42164539391827,5.998513999009391,0.747968801042487,876.6384370897752,1.499630310600591,9.25203119895751,7.455263394267536e-05,0.00012589494511331938,0.6527351435922163,1.3072013503093898e-06,0.000245387124068039,1.352937150597703e-06,0.011428761198869883,4.650026775548851,0.01182862040399997,100.33444816053512,72.30274929093582,9927.697250709067,10.0,23.9939794990928,2.95778913556459,400.53061998099486,0.006020500907233222,0.0014977886372051987,3505.102238088607,5.998502211362783,7.04221086443541,0.04221086443540813,0.0,0.0,0.0,0.0,0.0,0.0,100.33444816053512
3,70.139635581799,9929.860401307547,10.0,891.0740304823503,0.7479688010424898,0.005840324917260376,5.998539918770186,9.252031198957486,103.22255649561637,0.0014529641492059446,1.4996367589624953,0.008124795830048858,891.696504108355,1.4996367589625395,5.9985399187701605,0.7479688010424754,103.22255649561639,9.252031198957516,891.6858352587394,5.998539918770186,1.4996367589624953,9.252031198957486,103.22255649561637,0.7479688010424898,103.22255649561629,5.998539918770439,0.7479688010424979,891.6854537983635,1.4996367589625197,9.252031198957502,6.991887847358656e-05,0.00011807618423832986,0.6227077234053127,1.2260158506104152e-06,0.00023409739992448318,1.2689108934734883e-06,0.010902947014559404,4.66612819403529,0.011284407389396962,150.5016722408027,70.13963524955554,9929.860364750446,10.0,23.9940845999316,2.95778913556459,407.6487633859941,0.0059154000684324345,0.0014716414720912698,3565.287937983211,5.998528358527896,7.04221086443541,0.04221086443540812,0.0,0.0,0.0,0.0,0.0,0.0,150.5016722408027
4,68.18400428742072,9931.816032601926,10.0,906.1492130467775,0.7479688010424838,0.00574020066705988,5.998564949832814,9.252031198957491,105.0234683892027,0.0014280550700513954,1.4996429862323155,0.008124795830048477,906.7430512660126,1.499642986232275,5.998564949832852,0.7479688010425006,105.02346838920292,9.252031198957491,906.7328732678102,5.998564949832816,1.4996429862323155,9.252031198957491,105.0234683892027,0.7479688010424838,105.0234683892033,5.998564949832557,0.7479688010424795,906.7325093595274,1.4996429862322957,9.25203119895752,6.559201902513228e-05,0.00011077454589230133,0.5940615463435618,1.1501999970330088e-06,0.0002233271082172881,1.1904422025884006e-06,0.010401325309536117,4.6814888168946585,0.010765233591075205,200.66889632107024,68.18400375335585,9931.815996246647,10.0,23.99418609424999,2.95778913556459,414.76691000572356,0.005813905750043383,0.0014463915443081578,3625.4738969458363,5.998553608455678,7.04221086443541,0.04221086443540812,0.0,0.0,0.0,0.0,0.0,0.0,200.66889632107024
5,66.41595490137456,9933.584081987972,10.0,921.2231396159142,0.7479688010424873,0.005643451401108352,5.998589137149029,9.252031198957487,106.82438102935018,0.0014039856261101565,1.4996490035932464,0.008124795830049106,921.7896596477743,1.4996490035933656,5.998589137148961,0.7479688010424452,106.82438102935023,9.252031198957546,921.7799499172272,5.998589137149026,1.499649003593246,9.252031198957487,106.82438102935015,0.7479688010424873,106.82438102934968,5.998589137149779,0.7479688010425061,921.7796027532851,1.4996490035933059,9.252031198957493,6.155006057804213e-05,0.00010395305049736615,0.5667330842075234,1.0793696431691469e-06,0.00021305234734051722,1.1171334824324116e-06,0.009922782893237088,4.696142727762688,0.010269946834235844,250.83612040133778,66.41595599660047,9933.584044003404,10.0,23.994284164562885,2.9577891355645898,421.8850596561194,0.0057158354371490885,0.0014219934473785713,3685.6601061620036,5.9985780065526075,7.04221086443541,0.042210864435408155,0.0,0.0,0.0,0.0,0.0,0.0,250.83612040133778
6,64.81749585017033,9935.182541039178,10.0,936.2958687333072,0.7479688010426181,0.005549906392318294,5.998612523397983,9.252031198957356,108.62529437302727,0.0013807133435106411,1.4996548216630787,0.008124795830059635,936.8363272132511,1.499654821665531,5.998612523396417,0.7479688010417007,108.62529437302646,9.25203119895829,936.827064205728,5.998612523397977,1.4996548216630798,9.252031198957356,108.62529437302724,0.7479688010426181,108.6252943730114,5.998612523413093,0.7479688010429714,936.826733015606,1.4996548216641157,9.252031198957027,5.777271942824935e-05,9.75774613508008e-05,0.5406617302915231,1.0131656821984174e-06,0.00020325034765824131,1.0486130119509485e-06,0.009466257869506278,4.710122441777802,0.009797447990115487,301.0033444816054,64.81749636557811,9935.182503634429,10.0,23.99437898123812,2.9577891355645898,429.00321216609024,0.005621018761910266,0.0013984047968064127,3745.8465572587197,5.998601595203179,7.04221086443541,0.04221086443540814,0.0,0.0,0.0,0.0,0.0,0.0,301.0033444816054
7,63.372358960461376,9936.627677928884,10.0,951.3674562582961,0.7479688010424772,0.005459418065142056,5.998635145483168,9.252031198957495,110.42620838391173,0.001358201508090445,1.499660449622811,0.00812479583004855,951.8830520222732,1.4996604496228136,5.998635145483167,0.7479688010424784,110.42620838391177,9.252031198957509,951.8742151845439,5.9986351454831555,1.4996604496228105,9.252031198957495,110.42620838391173,0.7479688010424772,110.426208383912,5.9986351454831786,0.7479688010424791,951.8738992330722,1.4996604496228179,9.25203119895752,5.42413623256826e-05,9.161684364323808e-05,0.5157896632367033,9.512784800755562e-07,0.00019389925974146635,9.845604574883682e-07,0.009030736989100474,4.723458978731034,0.009346688459758683,351.1705685618729,63.3723593206665,9936.627640679339,10.0,23.994470703559234,2.9577891355645898,436.12136737632716,0.005529296440800405,0.0013755859656790158,3806.0332422768806,5.998624414034307,7.04221086443541,0.042210864435408106,0.0,0.0,0.0,0.0,0.0,0.0,351.1705685618729
8,62.06583768124192,9937.934199208104,10.0,966.4379554871024,0.7479688010424828,0.005371830096167792,5.998657042475431,9.252031198957484,112.22712302249498,0.0013364112293547622,1.499665897192495,0.00812479583004862,966.9298322299194,1.4996658971924968,5.998657042475439,0.7479688010424842,112.22712302249509,9.252031198957503,966.9214019544254,5.99865704247543,1.4996658971924945,9.252031198957484,112.22712302249495,0.7479688010424828,112.22712302249529,5.998657042475449,0.7479688010424851,966.9211005403746,1.4996658971924994,9.252031198957514,5.0938697107433796e-05,8.604168633929886e-05,0.4920617212507787,8.933897135477582e-07,0.0001849784341519598,9.246462144719241e-07,0.00861525392814702,4.736181930806992,0.008916667977582343,401.33779264214047,62.06583804034983,9937.934161959654,10.0,23.994559480542637,2.9577891355645893,443.23952513842113,0.005440519457396756,0.0013534998813597013,3866.2201536436623,5.9986465001186255,7.042210864435409,0.04221086443540803,0.0,0.0,0.0,0.0,0.0,0.0,401.33779264214047
9,60.88463635401806,9939.115400535327,10.0,981.5074172668502,0.747968801042488,0.005287008154269246,5.998678247960927,9.25203119895748,114.02803825567993,0.0013153090881157525,1.4996711727278114,0.008124795830048681,981.9766660784394,1.4996711727278123,5.998678247960933,0.7479688010424894,114.02803825568004,9.252031198957498,981.9686236597979,5.998678247960926,1.499671172727811,9.25203119895748,114.02803825567993,0.747968801042488,114.02803825568024,5.998678247960943,0.7479688010424903,981.968336114213,1.499671172727815,9.252031198957507,4.7848821574746365e-05,8.082536417192161e-05,0.4694252796296988,8.392269459644105e-07,0.00017646804106684184,8.685883546188469e-07,0.00821888668259818,4.748319528287039,0.00850643226618284,451.505016722408,60.88463674427017,9939.115363255734,10.0,23.99464545170199,2.9577891355645898,450.35768531402846,0.005354548298041399,0.001332111835333555,3926.4072841481634,5.998667888164651,7.0422108644354084,0.04221086443540783,0.0,0.0,0.0,0.0,0.0,0.0,451.505016722408
