,atc_i_cell2,ssDNA_comp1,enzyme_VioA_biocrnpyler_624668,complex_dna_dna_vioA_protein_RNAP_biocrnpyler_624668,complex_protein_Ribo_transcript_vioA_biocrnpyler_624668,dna_dna_vioA_biocrnpyler_624668,transcript_vioA_biocrnpyler_624668,complex_protein_RNAase_transcript_vioA_biocrnpyler_624668,enzyme_VioB_biocrnpyler_624668,complex_protein_RNAase_transcript_vioB_biocrnpyler_624668,complex_protein_Ribo_transcript_vioB_biocrnpyler_624668,complex_dna_dna_vioB_protein_RNAP_biocrnpyler_624668,transcript_vioB_biocrnpyler_624668,dna_dna_vioB_biocrnpyler_624668,enzyme_VioE_biocrnpyler_624668,complex_protein_Ribo_transcript_vioE_biocrnpyler_624668,complex_protein_RNAase_transcript_vioE_biocrnpyler_624668,dna_dna_vioE_biocrnpyler_624668,transcript_vioE_biocrnpyler_624668,complex_dna_dna_vioE_protein_RNAP_biocrnpyler_624668,transcript_vioD_biocrnpyler_624668,complex_protein_Ribo_transcript_vioD_biocrnpyler_624668,complex_dna_dna_vioD_protein_RNAP_biocrnpyler_624668,enzyme_VioD_biocrnpyler_624668,complex_protein_RNAase_transcript_vioD_biocrnpyler_624668,dna_dna_vioD_biocrnpyler_624668,TRP_biocrnpyler_624668,IPA_imine_biocrnpyler_624668,complex_TRP_enzyme_VioA_biocrnpyler_624668,IPA_imine_dimer_biocrnpyler_624668,complex_2x_IPA_imine_enzyme_VioB_biocrnpyler_624668,complex_IPA_imine_dimer_enzyme_VioE_biocrnpyler_624668,complex_PTDVA_enzyme_VioD_biocrnpyler_624668,atc_i_cell3,ssDNA_comp2,complex_protein_Ribo_transcript_vioC_biocrnpyler_693963,complex_dna_dna_vioC_protein_RNAP_biocrnpyler_693963,transcript_vioC_biocrnpyler_693963,protein_Ribo_biocrnpyler_624668_1_combined,protein_RNAase_biocrnpyler_624668_1_combined,enzyme_VioC_biocrnpyler_693963,complex_protein_RNAase_transcript_vioC_biocrnpyler_693963,dna_dna_vioC_biocrnpyler_693963,protein_RNAP_biocrnpyler_624668_1_combined,PTVA_biocrnpyler_624668_1_combined,V_biocrnpyler_693963,complex_PTVA_enzyme_VioC_biocrnpyler_693963,PTDVA_biocrnpyler_624668_1_combined,DV_biocrnpyler_693963,complex_PTDVA_enzyme_VioC_biocrnpyler_693963,atc_e_external_reservoir_model_1_combined_1_combined,time
0,9948.76703862753,10.0,1282.73954322164,0.747968801042513,5.9989954789031,9.25203119895746,150.046430549541,1.49975009393781,1282.92249303191,1.4997500939378,5.99899547890309,0.74796880104252,150.046430549541,9.25203119895747,1282.91935767392,5.99899547890313,1.4997500939378,9.25203119895746,150.046430549541,0.747968801042514,150.046430549541,5.99899547890314,0.747968801042514,1282.91924557892,1.49975009393782,9.25203119895748,1.42725372632736e-05,2.41185691860034e-05,0.183018606902849,2.50427600354061e-07,6.87966223832339e-05,0.00320415461727289,0.00331624962532428,9948.76700145907,10.0,23.9959313237325,2.95778913556459,592.721244424285,0.00406867626752383,0.00101221057175805,5130.18723878299,5.99898778942823,7.0422108644354,0.0422108644354028,0.0,0.0,0.0,0.0,0.0,0.0,51.2329985409286,1454.8494983277592
1,9948.902383200186,10.0,1297.9377879721308,1.1956454286951421,6.076745333048177,8.80435457130484,152.87047001003722,1.5191874685378552,1298.112321170257,1.5191874685378546,6.07674533304817,1.195645428695143,152.8704700100371,8.804354571304852,1298.1093300608045,6.0767453330481755,1.5191874685378541,8.804354571304836,152.87047001003717,1.1956454286951421,152.87047001003734,6.07674533304818,1.195645428695143,1298.1117538127244,1.5191874685378544,8.804354571304854,1.3456396737861169e-05,2.27396086743628e-05,0.17459882965862458,2.3610838291440774e-07,6.563152297611515e-05,0.0030567409796025003,0.0006329890668999321,9948.902346050376,10.0,23.68500555930744,1.1956454286928788,595.8186409384042,0.003995024112289553,0.0009938872802781203,5189.8060995504775,5.921256614319502,8.804354571307123,0.013648060696628833,9.407680741348122e-09,0.0004239602474412949,0.0004864820929348659,4.8893189907379674e-08,0.003603669168800559,0.002530669977302784,50.96230937698207,1505.0167224080267
2,9949.013064326082,10.0,1313.2403635552496,1.1956454286948675,6.117945402871284,8.804354571305119,155.74160775369194,1.5294874893727195,1313.406867338124,1.5294874893727177,6.117945402871278,1.1956454286948688,155.74160775369185,8.80435457130513,1313.4040138408486,6.117945402871278,1.529487489372717,8.804354571305112,155.74160775369188,1.1956454286948668,155.74160775369202,6.117945402871287,1.1956454286948686,1313.406325902824,1.5294874893727195,8.80435457130513,1.2687694377070114e-05,2.1440807721488745e-05,0.16656639489380573,2.2262272583591466e-07,6.261201036511544e-05,0.002916109289469472,0.0006040473209747586,9949.013027194904,10.0,23.520252344168256,1.19564542869402,598.7276772515347,0.003947959959190331,0.0009821785945312257,5249.009244113525,5.88006823966581,8.804354571305984,0.013648060696628949,1.114281397929758e-08,0.0011889916493165642,0.000583209431489685,4.6114362096443815e-08,0.007048370569456612,0.002414068448303693,50.74094710655618,1555.1839464882944
3,9949.103576352045,10.0,1328.6447362507006,1.1956454286946905,6.1582115148989836,8.804354571305296,158.61340211143784,1.539554020566328,1328.803580003246,1.5395540205663278,6.158211514898982,1.1956454286946923,158.61340211143778,8.804354571305305,1328.8008577870887,6.158211514898981,1.5395540205663276,8.80435457130529,158.61340211143778,1.1956454286946891,158.61340211143795,6.158211514898986,1.1956454286946918,1328.8030632398156,1.5395540205663298,8.804354571305305,1.1963612414986836e-05,2.0217376109811027e-05,0.15890348396905163,2.099196437945291e-07,5.973141509788727e-05,0.0027819475759455364,0.0005764948559782147,9949.10353923949,10.0,23.35923386422772,1.1956454286946923,601.6340878964312,0.0039019917888296783,0.0009707425690089758,5307.8039273389795,5.83981355091692,8.804354571305312,0.013648060696628852,1.1072397347389342e-08,0.002008507139008643,0.000586099793247001,4.350100185779008e-08,0.010334304509039235,0.0023027680370822138,50.55992303600883,1605.3511705685619
4,9949.177594632738,10.0,1344.1486197717188,1.1956454286946898,6.197574863510288,8.804354571305296,161.4858256067291,1.549394860723741,1344.300155886237,1.5493948607237402,6.197574863510286,1.1956454286946911,161.4858256067291,8.804354571305307,1344.2975589113996,6.197574863510283,1.5493948607237393,8.804354571305288,161.485825606729,1.1956454286946885,161.48582560672924,6.197574863510294,1.1956454286946914,1344.2996626103952,1.549394860723742,8.804354571305305,1.1281534958295153e-05,1.9064897533901742e-05,0.1515930978729942,1.979532812955682e-07,5.6983346188738225e-05,0.0026539581868195213,0.0005502591987140859,9949.177557538798,10.0,23.2018253798129,1.1956454286946923,604.5379827454595,0.003857081758713842,0.000959569789195477,5366.199288340299,5.800461363067033,8.804354571305314,0.013648060696628845,1.0589267435963787e-08,0.002812830917320306,0.0005667126959501798,4.1042684273158667e-08,0.013468696626211097,0.002196537588049781,50.41188645600554,1655.5183946488294
5,9949.238124775906,10.0,1359.7498035628498,1.1956454286946872,6.236065273702428,8.804354571305298,164.35885209218083,1.5590174661040044,1359.8943682206937,1.559017466104005,6.236065273702426,1.19564542869469,164.3588520921808,8.80435457130531,1359.8918907252435,6.236065273702424,1.5590174661040035,8.804354571305293,164.3588520921807,1.195645428694687,164.35885209218097,6.236065273702435,1.19564542869469,1359.8938973107154,1.559017466104005,8.804354571305307,1.0638998816960928e-05,1.797921324414875e-05,0.14461901955915998,1.8668045694707001e-07,5.4361706661736265e-05,0.0025318571604520264,0.0005252716958374432,9949.238087700565,10.0,23.047907627054617,1.1956454286946916,607.4394663560331,0.0038131937487063993,0.0009486512690658388,5424.204214112431,5.761981860066111,8.804354571305314,0.01364806069662883,1.003313847068383e-08,0.003586038711173843,0.0005427587868424129,3.872965213558884e-08,0.016458454945184307,0.0020951529622200236,50.290826151072245,1705.685618729097
6,9949.287624681658,10.0,1375.4461494951363,1.1956454286947078,6.273711275257786,8.804354571305275,167.23245667356426,1.5684289691618487,1375.584063412425,1.5684289691618034,6.273711275257705,1.1956454286946703,167.23245667356437,8.804354571305328,1375.5816998995108,6.273711275257774,1.5684289691618287,8.804354571305286,167.2324566735643,1.1956454286946925,167.23245667356457,6.273711275257713,1.1956454286946907,1375.5836138054276,1.5684289691618467,8.804354571305309,1.0033684912779695e-05,1.6956407584230786e-05,0.13796577797709125,1.7606051344651822e-07,5.186068002682442e-05,0.0024153735979500724,0.0005014676882473334,9949.287587624915,10.0,22.89736652131802,1.1956454286946718,610.3386382745283,0.003770293264160957,0.0009379784269873203,5481.827312411776,5.7243465206769075,8.804354571305334,0.013648060696628809,9.485214771163767e-09,0.00432548521318367,0.0005185771288167266,3.655280116863845e-08,0.019310181138430995,0.001998398717250754,50.1918263209684,1755.8528428093646
7,9949.328104354696,10.0,1391.2355887395956,1.1956454286946754,6.310540172231338,8.804354571305307,170.10661563875192,1.577636195919581,1391.3671578786275,1.5776361959195941,6.310540172231364,1.1956454286946896,170.1066156387519,8.804354571305309,1391.3649031042858,6.310540172231344,1.577636195919587,8.8043545713053,170.10661563875203,1.1956454286946792,170.10661563875215,6.310540172231372,1.195645428694683,1391.366728567021,1.5776361959195844,8.804354571305316,9.463410110710547e-06,1.5992794235856593e-05,0.13161861375738834,1.6605517477804308e-07,4.9474717379370555e-05,0.002304249062759944,0.0004787863345427943,9949.32806731654,10.0,22.75009287934187,1.1956454286946898,613.2355933204157,0.003728347345397106,0.0009275430631985077,5539.076914329299,5.687528049009738,8.804354571305314,0.013648060696628746,8.964235482696175e-09,0.0050317432237041125,0.0004952013218393638,3.4503639873761254e-08,0.022030182847031055,0.0019060682860557285,50.11086695630676,1806.020066889632
8,9949.361207495074,10.0,1407.1161188080443,1.1956454286946887,6.346578107857649,8.804354571305295,172.9813063915432,1.5866456821940043,1407.2416350559893,1.5866456821940054,6.346578107857646,1.1956454286946954,172.98130639154326,8.804354571305304,1407.2394840175107,6.346578107857652,1.586645682194006,8.80435457130529,172.9813063915433,1.1956454286946903,172.9813063915434,6.346578107857656,1.195645428694693,1407.2412250841583,1.5866456821940045,8.804354571305307,8.926119474689667e-06,1.5084903178005597e-05,0.1255634464781536,1.5662841083647243e-07,4.7198525086212396e-05,0.0021982370075614363,0.00045717036683610524,9949.361170475495,10.0,22.60598215969795,1.1956454286946954,616.1304218508637,0.0036873244834178293,0.0009173373388414911,5595.961083772833,5.651500309636472,8.80435457130531,0.013648060696628866,8.472905211112968e-09,0.005706127010476996,0.0004728412481146999,3.257424624211896e-08,0.024624485931444142,0.0018179637817451431,50.044660656973036,1856.1872909698998
9,9949.388278358965,10.0,1423.085800748399,1.1956454286946956,6.381850125437876,8.80435457130529,175.85650738973533,1.5954636888178348,1423.2055425647598,1.59546368881783,6.381850125437861,1.1956454286946958,175.8565073897353,8.804354571305304,1423.2034904895897,6.381850125437875,1.595463688817834,8.804354571305286,175.85650738973533,1.1956454286946945,175.8565073897354,6.381850125437869,1.1956454286946967,1423.2051510259778,1.5954636888178337,8.804354571305305,8.419878918338705e-06,1.422946830579739e-05,0.11978684342210628,1.4774630885305234e-07,4.502705304619457e-05,0.0020971022271658933,0.00043656584568502253,9949.388241357954,10.0,22.464934219319787,1.1956454286946967,619.0232100083789,0.0036471945409557766,0.0009073537563196179,5652.487628178759,5.616238266723671,8.804354571305307,0.013648060696628909,8.009985543098508e-09,0.006350068241437651,0.0004515119376739251,3.075722639301014e-08,0.027098846378525207,0.0017338957155104725,49.990518910622185,1906.3545150501673
